route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
1,10,87152,"Decatur-Drummond",1003,0,275147
1,10,87153,"Parx Casino",2151,0,275145
1,10,87154,"Parx Casino via Decatur-Drummond",2155,0,275152
1,10,87155,"Decatur-Drummond",1426,0,275151
1,10,87156,"Parx Casino via Decatur-Drummond",2153,0,275152
1,10,87157,"Decatur-Drummond",1002,0,275148
1,10,87158,"Byberry Industrial Park",2708,0,275149
1,10,87159,"Decatur-Drummond",2154,0,275146
1,10,87160,"Decatur-Drummond",1001,0,275147
1,10,87161,"Decatur-Drummond",2783,0,275151
1,10,87162,"Decatur-Drummond",1455,0,275146
1,10,87163,"Decatur-Drummond",2151,0,275146
1,10,87164,"Decatur-Drummond",2156,0,275151
1,10,87165,"Roosevelt-Pratt",1521,0,275150
1,10,87166,"Parx Casino",2157,0,275145
1,10,87167,"Parx Casino",2158,0,275145
1,10,87168,"Parx Casino",1004,0,275145
1,10,87169,"Parx Casino",2159,0,275145
1,10,87170,"Parx Casino",1005,0,275145
1,10,87171,"Parx Casino via Decatur-Drummond",1003,0,275152
1,10,87172,"Parx Casino via Decatur-Drummond",1001,0,275152
1,10,87173,"Parx Casino via Decatur-Drummond",2151,0,275152
1,10,87174,"Parx Casino",1003,0,275145
1,10,87175,"Parx Casino",1004,0,275145
1,10,87176,"Byberry Industrial Park",2783,0,275149
1,10,87177,"Parx Casino via Decatur-Drummond",2152,0,275152
1,10,87178,"Byberry Industrial Park",2155,0,275149
1,10,87179,"54th-City via Drummond-Decatur",1484,1,275154
1,10,87180,"54th-City",1435,1,275153
1,10,87181,"54th-City",2157,1,275157
1,10,87182,"54th-City",1004,1,275158
1,10,87183,"54th-City",1005,1,275158
1,10,87184,"54th-City via Drummond-Decatur",1003,1,275154
1,10,87185,"54th-City via Drummond-Decatur",2151,1,275154
1,10,87186,"54th-City",2152,1,275158
1,10,87187,"54th-City",2155,1,275157
1,10,87188,"54th-City",2153,1,275158
1,10,87189,"54th-City",2154,1,275157
1,10,87190,"54th-City",1001,1,275157
1,10,87191,"Wissahickon Transportation Center",2783,1,275160
1,10,87192,"54th-City",2151,1,275157
1,10,87193,"54th-City",2152,1,275157
1,10,87194,"54th-City via Drummond-Decatur",2159,1,275154
1,10,87195,"Wissahickon Transportation Center",1229,1,275156
1,10,87196,"Wissahickon Transportation Center",2560,1,275156
1,10,87197,"Wissahickon Transportation Center",2156,1,275160
1,10,87198,"54th-City",1004,1,275158
1,10,87199,"54th-City",1516,1,275157
1,10,87200,"54th-City",1006,1,275153
1,10,87201,"54th-City",1003,1,275157
1,10,87202,"54th-City via Drummond-Decatur",2156,1,275154
1,10,87203,"Wissahickon Transportation Center",2160,1,275155
1,10,87204,"23rd-Venango",1007,1,275159
1,10,87205,"23rd-Venango",2158,1,275159
1,10,87206,"54th-City",1521,1,275153
12,10,57867,"Columbus-Dock",7254,0,275161
12,10,57868,"Columbus-Dock",7255,0,275161
12,10,57869,"Columbus-Dock",7256,0,275161
12,10,57870,"Columbus-Dock",7257,0,275161
12,10,57871,"Columbus-Dock",7258,0,275161
12,10,57872,"Columbus-Dock",7251,0,275161
12,10,57873,"Columbus-Dock",7255,0,275161
12,10,57874,"Columbus-Dock",7256,0,275161
12,10,57875,"Columbus-Dock",7257,0,275161
12,10,57876,"Columbus-Dock",7258,0,275161
12,10,57877,"Columbus-Dock",7251,0,275161
12,10,57878,"Columbus-Dock",7256,0,275161
12,10,57879,"Columbus-Dock",7257,0,275161
12,10,57880,"Columbus-Dock",7258,0,275161
12,10,57881,"Columbus-Dock",7259,0,275161
12,10,57882,"Columbus-Dock",7262,0,275161
12,10,57883,"Columbus-Dock",7261,0,275161
12,10,57884,"Columbus-Dock",7258,0,275161
12,10,57885,"Columbus-Dock",7260,0,275161
12,10,57886,"Columbus-Dock",7263,0,275161
12,10,57887,"Columbus-Dock",7257,0,275161
12,10,57888,"Columbus-Dock",7259,0,275161
12,10,57889,"Columbus-Dock",7261,0,275161
12,10,57890,"Columbus-Dock",7258,0,275161
12,10,57891,"Columbus-Dock",7260,0,275161
12,10,57892,"Columbus-Dock",7262,0,275161
12,10,57893,"Columbus-Dock",7263,0,275161
12,10,57894,"Columbus-Dock",7262,0,275161
12,10,57895,"Columbus-Dock",7254,0,275161
12,10,57896,"Columbus-Dock",7251,0,275161
12,10,57897,"Columbus-Dock",7262,0,275161
12,10,57898,"Columbus-Dock",7253,0,275161
12,10,57899,"Columbus-Dock",7261,0,275161
12,10,57900,"Columbus-Dock",7263,0,275161
12,10,57901,"Columbus-Dock",7261,0,275161
12,10,57902,"Columbus-Dock",7263,0,275161
12,10,57903,"Columbus-Dock",7262,0,275161
12,10,57904,"Columbus-Dock",7261,0,275161
12,10,57905,"Columbus-Dock",7263,0,275161
12,10,57906,"Columbus-Dock",7262,0,275161
12,10,57907,"Columbus-Dock",7263,0,275161
12,10,57908,"Columbus-Dock",7251,0,275161
12,10,57909,"Columbus-Dock",7252,0,275161
12,10,57910,"Columbus-Dock",7253,0,275161
12,10,57911,"Columbus-Dock",7254,0,275161
12,10,57912,"Columbus-Dock",7251,0,275161
12,10,57913,"Columbus-Dock",7255,0,275161
12,10,57914,"Columbus-Dock",7252,0,275161
12,10,57915,"Columbus-Dock",7256,0,275161
12,10,57916,"Columbus-Dock",7253,0,275161
12,10,57917,"Columbus-Dock",7254,0,275161
12,10,57918,"Columbus-Dock",7251,0,275161
12,10,57919,"Columbus-Dock",7255,0,275161
12,10,57920,"Columbus-Dock",7256,0,275161
12,10,57921,"Columbus-Dock",7252,0,275161
12,10,57922,"Columbus-Dock",7259,0,275161
12,10,57923,"Columbus-Dock",7255,0,275161
12,10,57924,"Columbus-Dock",7260,0,275161
12,10,57925,"Columbus-Dock",7252,0,275161
12,10,57926,"Columbus-Dock",7256,0,275161
12,10,57927,"Columbus-Dock",7253,0,275161
12,10,57928,"50th-Woodland",7256,1,275162
12,10,57929,"50th-Woodland",7253,1,275162
12,10,57930,"50th-Woodland",7262,1,275162
12,10,57931,"50th-Woodland",7261,1,275162
12,10,57932,"50th-Woodland",7259,1,275162
12,10,57933,"50th-Woodland",7258,1,275162
12,10,57934,"50th-Woodland",7260,1,275162
12,10,57935,"50th-Woodland",7256,1,275162
12,10,57936,"50th-Woodland",7257,1,275162
12,10,57937,"50th-Woodland",7259,1,275162
12,10,57938,"50th-Woodland",7261,1,275162
12,10,57939,"50th-Woodland",7263,1,275162
12,10,57940,"50th-Woodland",7253,1,275162
12,10,57941,"50th-Woodland",7254,1,275162
12,10,57942,"50th-Woodland",7251,1,275162
12,10,57943,"50th-Woodland",7252,1,275162
12,10,57944,"50th-Woodland",7255,1,275162
12,10,57945,"50th-Woodland",7252,1,275162
12,10,57946,"50th-Woodland",7256,1,275162
12,10,57947,"50th-Woodland",7253,1,275162
12,10,57948,"50th-Woodland",7254,1,275162
12,10,57949,"50th-Woodland",7251,1,275162
12,10,57950,"50th-Woodland",7255,1,275162
12,10,57951,"50th-Woodland",7256,1,275162
12,10,57952,"50th-Woodland",7254,1,275162
12,10,57953,"50th-Woodland",7257,1,275162
12,10,57954,"50th-Woodland",7258,1,275162
12,10,57955,"50th-Woodland",7258,1,275162
12,10,57956,"50th-Woodland",7262,1,275162
12,10,57957,"50th-Woodland",7263,1,275162
12,10,57958,"50th-Woodland",7262,1,275162
